code,company,last_update,count
000020,동화약품,2021-11-23,6372
000040,KR모터스,2021-11-23,6373
000050,경방,2021-11-23,6372
000060,메리츠화재,2021-11-23,6372
000070,삼양홀딩스,2021-11-23,6373
000080,하이트진로,2021-11-23,2984
000100,유한양행,2021-11-23,6374
000120,CJ대한통운,2021-11-23,6377
000140,하이트진로홀딩스,2021-11-23,6378
000150,두산,2021-11-23,6379
000180,성창기업지주,2021-11-23,6380
000210,DL,2021-11-23,6380
000220,유유제약,2021-11-23,6380
000230,일동홀딩스,2021-11-23,6380
000240,한국앤컴퍼니,2021-11-23,6380
000250,삼천당제약,2021-11-23,5220
000270,기아,2021-11-23,6380
000300,대유플러스,2021-11-23,6380
000320,노루홀딩스,2021-11-23,6380
000370,한화손해보험,2021-11-23,6380
000390,삼화페인트공업,2021-11-23,6380
000400,롯데손해보험,2021-11-23,6380
000430,대원강업,2021-11-23,6380
000440,중앙에너비스,2021-11-23,5804
000480,조선내화,2021-11-23,6380
000490,대동,2021-11-23,6380
000500,가온전선,2021-11-23,6380
000520,삼일제약,2021-11-23,6380
000540,흥국화재,2021-11-23,6380
000590,CS홀딩스,2021-11-23,6380
000640,동아쏘시오홀딩스,2021-11-23,6380
000650,천일고속,2021-11-23,6380
000660,SK하이닉스,2021-11-23,6231
000670,영풍,2021-11-23,6380
000680,LS네트웍스,2021-11-23,6380
000700,유수홀딩스,2021-11-23,6380
000720,현대건설,2021-11-23,6380
000760,이화산업,2021-11-23,6380
000810,삼성화재해상보험,2021-11-23,6380
000850,화천기공,2021-11-23,5425
000860,강남제비스코,2021-11-23,6380
000880,한화,2021-11-23,6380
000890,보해양조,2021-11-23,6380
000910,유니온,2021-11-23,6374
000950,전방,2021-11-23,6380
000970,한국주철관공업,2021-11-23,6380
000990,DB하이텍,2021-11-23,6380
001000,신라섬유,2021-11-23,5800
001020,페이퍼코리아,2021-11-23,6380
001040,CJ,2021-11-23,6380
001060,JW중외제약,2021-11-23,6380
001070,대한방직,2021-11-23,6380
001080,만호제강,2021-11-23,6380
001120,LX인터내셔널,2021-11-23,6380
001130,대한제분,2021-11-23,6380
001140,국보,2021-11-23,6380
001200,유진증권,2021-11-23,6380
001210,금호전기,2021-11-23,6380
001230,동국제강,2021-11-23,6380
001250,GS글로벌,2021-11-23,6380
001260,남광토건,2021-11-23,6380
001270,부국증권,2021-11-23,6380
001290,상상인증권,2021-11-23,6380
001340,백광산업,2021-11-23,6380
001360,삼성제약,2021-11-23,6380
001380,SG글로벌,2021-11-23,6380
001390,KG케미칼,2021-11-23,6380
001420,태원물산,2021-11-23,6380
001430,세아베스틸,2021-11-23,6380
001440,대한전선,2021-11-23,6380
001450,현대해상,2021-11-23,6380
001460,BYC,2021-11-23,6380
001470,삼부토건,2021-11-23,6380
001500,현대차증권,2021-11-23,6380
001510,SK증권,2021-11-23,6380
001520,동양,2021-11-23,6380
001530,디아이동일,2021-11-23,6380
001540,안국약품,2021-11-23,5293
001550,조비,2021-11-23,6380
001560,제일연마,2021-11-23,3942
001570,금양,2021-11-23,6380
001620,케이비아이동국실업,2021-11-23,6380
001630,종근당홀딩스,2021-11-23,6380
001680,대상,2021-11-23,6380
001720,신영증권,2021-11-23,6380
001740,SK네트웍스,2021-11-23,6380
001750,한양증권,2021-11-23,6380
001770,SHD,2021-11-23,6380
001780,알루코,2021-11-23,3573
001790,대한제당,2021-11-23,6380
001800,오리온홀딩스,2021-11-23,6383
001810,무림SP,2021-11-23,5369
001820,삼화콘덴서공업,2021-11-23,6380
001840,이화공영,2021-11-23,5800
001880,DL건설,2021-11-23,6380
001940,KISCO홀딩스,2021-11-23,6380
002020,코오롱,2021-11-23,6380
002030,아세아,2021-11-23,6380
002070,비비안,2021-11-23,6380
002100,경농,2021-11-23,6380
002140,고려산업,2021-11-23,6380
002150,도화엔지니어링,2021-11-23,2779
002170,삼양통상,2021-11-23,6380
002200,한국수출포장공업,2021-11-23,6380
002210,동성제약,2021-11-23,6380
002220,한일철강,2021-11-23,6380
002230,피에스텍,2021-11-23,5802
002240,고려제강,2021-11-23,6380
002270,롯데푸드,2021-11-23,6380
002290,삼일기업공사,2021-11-23,5804
